,Address,Listing,City,Bed,Bth,Map,LotSz,SqFt,Year,DOM_CDOM,Area,Subdivision,DayofWkListed,MonthListed,YearListed,Date,SqFt.1,OrigPrice,ListPrice,SellingPrice,SPLP,Unnamed: 21,total_baths,full_baths,three_q_baths,half_baths,q_baths,coords,lat,lon
135,321 Ontario St , 44017587  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",8400.0,1826.0,1994,41/41,     East,  ,5,5,2015,5/15/2015, 101.31,189500,189500,185000,   97.63,42139,3,3,0,0,0,"(42.6397804384589, -95.2047370676259)",42.6397804384589,-95.2047370676259
136,708 Clover Ln , 44017617  ,Storm Lake,4 ,3 (2 0 1 0)  ,",",14770.0,2006.0,1987,174/174,     East,  ,5,10,2015,10/9/2015, 86.24,189900,179000,173000,   96.65,42286,3,2,0,1,0,"(42.6309220203839, -95.24158143162)",42.6309220203839,-95.24158143162
137,1111 W 6th St , 44017641  ,Storm Lake,5 ,3 (3 0 0 0)  ,",",10680.0,1886.0,2015,31/31,     East,  ,2,6,2015,6/16/2015, 114.00,219500,219500,215000,   97.95,42171,3,3,0,0,0,"(42.645537852327, -95.2151805539842)",42.645537852327,-95.2151805539842
138,207 Lake Ave , 44017665  ,Storm Lake,5 ,3 (3 0 0 0)  ,",",13600.0,3320.0,1910,60/60,     East,  ,4,7,2015,7/16/2015, 56.48,198500,198500,187500,   94.46,42201,3,3,0,0,0,"(42.638001743023, -95.2008348639412)",42.638001743023,-95.2008348639412
139,1009 Emerald Dr , 44017711  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",17500.0,1144.0,1962,70/70,     East,  ,6,8,2015,8/8/2015, 257.87,359000,315000,295000,   93.65,42224,2,2,0,0,0,"(42.6281717613031, -95.2362776022763)",42.6281717613031,-95.2362776022763
140,1805 W 6th St , 44017733  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",11280.0,2088.0,1975,31/31,     East,  ,3,7,2015,7/22/2015, 81.42,179000,179000,170000,   94.97,42207,3,3,0,0,0,"(42.6454665615329, -95.2278418776553)",42.6454665615329,-95.2278418776553
141,709 E 10th St , 44017830  ,Storm Lake,3 ,2 (1 1 0 0)  ,",",10950.0,1060.0,1982,23/23,     East,  ,5,8,2015,8/21/2015, 144.34,160000,160000,153000,   95.63,42237,2,1,1,0,0,"(42.6511520997174, -95.1913416754164)",42.6511520997174,-95.1913416754164
142,704 Clover Ln , 44017645  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",14000.0,1327.0,1980,162/162,     East,  ,5,10,2015,10/30/2015, 129.62,179000,179000,172000,   96.09,42307,3,3,0,0,0,"(42.6308725101919, -95.24158071581)",42.6308725101919,-95.24158071581
143,707 Maywood Dr , 44017810  ,Storm Lake,4 ,2 (2 0 0 0)  ,",",9602.0,1294.0,2007,112/112,     East,  ,1,11,2015,11/9/2015, 122.68,169888,161888,158750,   98.06,42317,2,2,0,0,0,"(42.6527703964984, -95.1922811323356)",42.6527703964984,-95.1922811323356
145,3102 Leona Dr , 44017879  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",14000.0,1554.0,1979,82/82,     East,  ,5,11,2015,11/13/2015, 118.40,194000,189900,184000,   96.89,42321,3,3,0,0,0,"(42.6306935, -95.2414887)",42.6306935,-95.2414887
146,1105 E 8th St , 44017972  ,Storm Lake,3 ,2 (1 1 0 0)  ,",",9600.0,1320.0,1988,137/137,     East,  ,4,2,2016,2/25/2016, 113.64,159900,153900,150000,   97.47,42425,2,1,1,0,0,"(42.648397, -95.1878323873497)",42.648397,-95.1878323873497
147,800-804 Michigan St , 44017977  ,Storm Lake,5 ,4 (4 0 0 0)  ,",",10000.0,3052.0,1950,0/0,     East,  ,1,12,2015,12/28/2015, 51.61,160000,160000,157500,   98.44,42366,4,4,0,0,0,"(42.646947, -95.202117)",42.646947,-95.202117
148,104 W 3rd Street , 44017986  ,Storm Lake,3 ,2 (1 1 0 0)  ,",",12000.0,1844.0,1955,33/33,     East,  ,2,12,2015,12/15/2015, 84.06,155000,155000,155000,  100.00,42353,2,1,1,0,0,"(42.640866460686, -95.2011228548807)",42.640866460686,-95.2011228548807
150,1107 W 6th St , 44018022  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",10680.0,1478.0,2013,164/164,     East,  ,3,5,2016,5/4/2016, 134.64,199000,199000,199000,  100.00,42494,3,3,0,0,0,"(42.6455379052556, -95.2151556246349)",42.6455379052556,-95.2151556246349
151,509 Lincoln , 44018069  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",9741.0,1400.0,1990,11-Nov,     East,  ,5,1,2016,1/29/2016, 123.93,178500,178500,173500,   97.20,42398,2,2,0,0,0,"(42.6534822, -95.1924039)",42.6534822,-95.1924039
152,508 Lincoln Road , 44018094  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",11250.0,1400.0,1990,96/96,     East,  ,4,4,2016,4/28/2016, 107.14,162000,158000,150000,   94.94,42488,3,3,0,0,0,"(42.6534822, -95.1924039)",42.6534822,-95.1924039
153,513 Swallum Dr , 44018162  ,Storm Lake,3 ,2 (1 1 0 0)  ,",",10066.0,1521.0,1964,24/24,     East,  ,1,4,2016,4/4/2016, 108.48,169900,169900,165000,   97.12,42464,2,1,1,0,0,"(42.6430020396463, -95.2182331688906)",42.6430020396463,-95.2182331688906
154,1013 N Mae St , 44018170  ,Storm Lake,4 ,3 (2 0 1 0)  ,",",9172.0,2080.0,1971,63/63,     East,  ,4,5,2016,5/12/2016, 73.80,155000,155000,153500,   99.03,42502,3,2,0,1,0,"(42.6498243596478, -95.1900302177821)",42.6498243596478,-95.1900302177821
156,1113 Oneida St , 44018186  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",11125.0,1296.0,1970,38/38,     East,  ,3,6,2016,6/15/2016, 118.83,154900,154900,154000,   99.42,42536,2,2,0,0,0,"(42.6513844071062, -95.1949712723133)",42.6513844071062,-95.1949712723133
157,801 E Lakeshore Dr , 44018207  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",6866.0,1364.0,1952,35/35,     East,  ,5,6,2016,6/24/2016, 143.70,205000,205000,196000,   95.61,42545,2,2,0,0,0,"(42.635932, -95.189964)",42.635932,-95.189964
158,920 Angier Dr , 44018224  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",12003.0,1887.0,1981,17/17,     East,  ,4,6,2016,6/2/2016, 109.17,209000,209000,206000,   98.56,42523,3,3,0,0,0,"(42.6481580416898, -95.2248344459938)",42.6481580416898,-95.2248344459938
159,1624 Hyland Dr , 44018228  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",12964.0,1512.0,1967,5-May,     East,  ,3,6,2016,6/1/2016, 99.54,149900,149900,150500,  100.40,42522,2,2,0,0,0,"(42.647662, -95.223841875)",42.647662,-95.223841875
160,7 Vista Dr , 44018317  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",12272.0,1188.0,1950,37/37,     East,  ,3,6,2016,6/29/2016, 129.63,169900,159900,154000,   96.31,42550,2,2,0,0,0,"(42.64421, -95.225825)",42.64421,-95.225825
162,706 Barton St , 44018345  ,Storm Lake,5 ,3 (3 0 0 0)  ,",",14774.0,1790.0,2016,63/63,     East,  ,3,8,2016,8/10/2016, 127.37,229500,229500,228000,   99.35,42592,3,3,0,0,0,"(42.6458855, -95.214439)",42.6458855,-95.214439
163,805 Highview Dr , 44018395  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",9252.0,1592.0,1955,1-Jan,     East,  ,5,7,2016,7/8/2016, 97.36,156500,156500,155000,   99.04,42559,2,2,0,0,0,"(42.6465254362694, -95.2223526004591)",42.6465254362694,-95.2223526004591
164,1005 Evergreen Ave , 44018408  ,Storm Lake,4 ,3 (2 1 0 0)  ,",",11231.0,1290.0,2012,82/82,     East,  ,5,9,2016,9/9/2016, 165.12,224000,224000,213000,   95.09,42622,3,2,1,0,0,"(42.6495685, -95.1868502)",42.6495685,-95.1868502
165,716 Winthrop Cir , 44018440  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",23800.0,1590.0,1968,26/26,     East,  ,3,8,2016,8/31/2016, 144.34,239000,239000,229500,   96.03,42613,3,3,0,0,0,"(42.6314762133135, -95.2367464717275)",42.6314762133135,-95.2367464717275
166,2904 Alvin Place , 44018457  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",11135.0,1288.0,1966,16/16,     East,  ,2,9,2016,9/6/2016, 118.71,152900,152900,152900,  100.00,42619,2,2,0,0,0,"(42.6287715280115, -95.2387357352736)",42.6287715280115,-95.2387357352736
167,609 E 12th St , 44018507  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",10639.0,1542.0,1998,17/17,     East,  ,2,9,2016,9/27/2016, 103.70,159900,159900,159900,  100.00,42640,3,3,0,0,0,"(42.654395, -95.191276)",42.654395,-95.191276
169,917 Angier Dr , 44018049  ,Storm Lake,4 ,4 (3 0 1 0)  ,",",13044.0,2876.0,1977,366/366,     East,  ,3,11,2016,11/23/2016, 64.33,249000,199000,185000,   92.96,42697,4,3,0,1,0,"(42.6480818928942, -95.2245991616807)",42.6480818928942,-95.2245991616807
170,704 Prairie Ln , 44018273  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",14360.0,1408.0,2007,162/162,     East,  ,3,11,2016,11/9/2016, 132.10,199500,189900,186000,   97.95,42683,3,3,0,0,0,"(42.6318155498267, -95.2441509133632)",42.6318155498267,-95.2441509133632
171,1401 Shoreway Rd , 44018394  ,Storm Lake,3 ,2 (1 1 0 0)  ,",",10878.0,1841.0,1965,267/267,     East,  ,5,3,2017,3/24/2017, 105.92,227000,200000,195000,   97.50,42818,2,1,1,0,0,"(42.643238, -95.2245329)",42.643238,-95.2245329
173,709 Emerald Dr , 44018483  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",11700.0,1520.0,1964,93/93,     East,  ,5,11,2016,11/18/2016, 107.89,172900,165900,164000,   98.85,42692,3,3,0,0,0,"(42.6333137851066, -95.2381377658073)",42.6333137851066,-95.2381377658073
174,512 Swallum Dr , 44018543  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",9990.0,2272.0,1983,239/239,     East,  ,5,5,2017,5/5/2017, 94.63,234900,234900,215000,   91.53,42860,3,3,0,0,0,"(42.6430029189091, -95.218457)",42.6430029189091,-95.218457
175,1601 Lochedem Dr , 44018548  ,Storm Lake,4 ,2 (1 1 0 0)  ,",",10265.0,1720.0,1956,41/41,     East,  ,4,10,2016,10/27/2016, 87.21,149500,149500,150000,  100.33,42670,2,1,1,0,0,"(42.646435, -95.222631)",42.646435,-95.222631
176,905 N Walnut St , 44018563  ,Storm Lake,5 ,3 (2 0 1 0)  ,",",9004.0,2188.0,1968,77/77,     East,  ,3,11,2016,11/30/2016, 75.41,165000,165000,165000,  100.00,42704,3,2,0,1,0,"(42.64897002253, -95.1879172590506)",42.64897002253,-95.1879172590506
177,604 Renshaw Dr , 44018589  ,Storm Lake,4 ,2 (1 1 0 0)  ,",",9119.0,1969.0,1975,38/38,     East,  ,4,11,2016,11/17/2016, 77.96,152500,152500,153500,  100.66,42691,2,1,1,0,0,"(42.6444677142857, -95.2282045918367)",42.6444677142857,-95.2282045918367
178,701 Clover Ln , 44018612  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",17780.0,1939.0,1996,51/51,     East,  ,2,1,2017,1/3/2017, 129.96,265000,265000,252000,   95.09,42738,3,3,0,0,0,"(42.630824, -95.241357)",42.630824,-95.241357
179,302 Lake Ave , 44018627  ,Storm Lake,4 ,4 (4 0 0 0)  ,",",13600.0,2823.0,1916,83/83,     East,  ,4,3,2017,3/2/2017, 66.77,190500,190500,188500,   98.95,42796,4,4,0,0,0,"(42.6395152856216, -95.2010358578874)",42.6395152856216,-95.2010358578874
180,1604 Violet Lane , 44018622  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",9600.0,1358.0,2006,29/29,     East,  ,5,12,2016,12/9/2016, 111.93,154000,154000,152000,   98.70,42713,3,3,0,0,0,"(42.644615, -95.1795465306122)",42.644615,-95.1795465306122
181,1502 E Milwaukee Ave , 44018644  ,Storm Lake,3 ,3 (2 0 1 0)  ,",",37505.0,1196.0,1975,50/50,     East,  ,5,1,2017,1/27/2017, 132.94,159900,159900,159000,   99.44,42762,3,2,0,1,0,"(42.647346, -95.1802220382104)",42.647346,-95.1802220382104
182,1700 W 6th St , 44018676  ,Storm Lake,4 ,3 (2 1 0 0)  ,",",16150.0,2028.0,1970,39/39,     East,  ,3,5,2017,5/31/2017, 100.00,211500,211500,202800,   95.89,42886,3,2,1,0,0,"(42.645316, -95.225763)",42.645316,-95.225763
183,1113 Oneida St , 44018709  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",11125.0,1296.0,1970,1-Jan,     East,  ,5,5,2017,5/12/2017, 123.07,159500,159500,159500,  100.00,42867,2,2,0,0,0,"(42.6513844071062, -95.1949712723133)",42.6513844071062,-95.1949712723133
184,1005 E 8th St , 44018752  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",8995.0,1320.0,1968,28/28,     East,  ,5,4,2017,4/21/2017, 120.45,159000,159000,159000,  100.00,42846,3,3,0,0,0,"(42.6484, -95.188352)",42.6484,-95.188352
185,1309 Shoreway Rd , 44018754  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",10622.0,1516.0,1964,42/42,     East,  ,5,7,2017,7/7/2017, 145.12,225000,225000,220000,   97.78,42923,3,3,0,0,0,"(42.643238, -95.2245329)",42.643238,-95.2245329
189,1204 E 9th St , 44018872  ,Storm Lake,5 ,3 (3 0 0 0)  ,",",11326.0,1264.0,2011,1-Jan,     East,  ,4,6,2017,6/15/2017, 167.72,214900,214900,212000,   98.65,42901,3,3,0,0,0,"(42.649468258586, -95.1866596888925)",42.649468258586,-95.1866596888925
190,110 Lake Ave , 44018932  ,Storm Lake,4 ,2 (1 0 1 0)  ,",",8400.0,2082.0,1919,8-Aug,     East,  ,4,6,2017,6/29/2017, 108.07,219000,219000,225000,  102.74,42915,2,1,0,1,0,"(42.6369622276756, -95.2010840887606)",42.6369622276756,-95.2010840887606
191,697 Hyland Dr , 44018945  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",14774.0,1686.0,2017,62/62,     East,  ,2,8,2017,8/15/2017, 136.24,229500,229500,229700,  100.09,42962,3,3,0,0,0,"(42.6477386, -95.2223484)",42.6477386,-95.2223484
192,510 Angier Dr , 44018961  ,Storm Lake,3 ,2 (1 1 0 0)  ,",",9000.0,1358.0,1954,24/24,     East,  ,4,7,2017,7/6/2017, 120.40,162500,162500,163500,  100.62,42922,2,1,1,0,0,"(42.6433929542045, -95.2249127374618)",42.6433929542045,-95.2249127374618
195,800 Pierce Dr , 44019027  ,Storm Lake,4 ,3 (2 0 1 0)  ,",",21222.0,2043.0,1959,49/49,     East,  ,5,9,2017,9/1/2017, 101.57,219900,219900,207500,   94.36,42979,3,2,0,1,0,"(42.629663, -95.23791)",42.629663,-95.23791
196,517 Swallum Dr , 44019148  ,Storm Lake,3 ,2 (1 1 0 0)  ,",",10057.0,1536.0,1965,66/66,     East,  ,1,10,2017,10/2/2017, 108.72,185000,169500,167000,   98.53,43010,2,1,1,0,0,"(42.6430593864106, -95.2182329547749)",42.6430593864106,-95.2182329547749
197,704 Angier Dr , 44019174  ,Storm Lake,3 ,3 (2 1 0 0)  ,",",11970.0,1778.0,1970,17/17,     East,  ,5,9,2017,9/1/2017, 89.99,160000,160000,160000,  100.00,42979,3,2,1,0,0,"(42.6455713922234, -95.224919)",42.6455713922234,-95.224919
198,1305 Shoreway Rd , 44019176  ,Storm Lake,3 ,2 (1 0 1 0)  ,",",12465.0,1268.0,1963,31/31,     East,  ,5,8,2017,8/25/2017, 119.87,152000,152000,152000,  100.00,42972,2,1,0,1,0,"(42.643238, -95.2245329)",42.643238,-95.2245329
