,Address,Listing,City,Bed,Bth,Map,LotSz,SqFt,Year,DOM_CDOM,Area,Subdivision,DayofWkListed,MonthListed,YearListed,Date,SqFt.1,OrigPrice,ListPrice,SellingPrice,SPLP,Unnamed: 21,total_baths,full_baths,three_q_baths,half_baths,q_baths,coords,lat,lon
43,806 Lakeshore Dr , 44014692  ,Storm Lake,3 ,1 (1 0 0 0)  ,",",8898.0,1176.0,1920,302/302,     East,  ,5,11,2010,11/5/2010, 191.33,259000,244000,225000,   92.21,40487,1,1,0,0,0,"(42.6357767278391, -95.1900579389305)",42.6357767278391,-95.1900579389305
44,1000 Pierce Dr , 44014823  ,Storm Lake,3 ,3 (2 0 0 1)  ,",",11790.0,1528.0,1962,371/371,     East,  ,4,5,2011,5/5/2011, 99.15,164900,155000,151500,   97.74,40668,3,2,0,0,1,"(42.630814, -95.238812)",42.630814,-95.238812
46,106 College Ave , 44015054  ,Storm Lake,4 ,3 (2 0 0 1)  ,",",21248.0,2880.0,1960,1-Jan,     East,  ,5,4,2011,4/22/2011, 90.28,285000,285000,260000,   91.23,40655,3,2,0,0,1,"(42.6378288981315, -95.2078644656754)",42.6378288981315,-95.2078644656754
49,801 Clover Ln , 44015174  ,Storm Lake,4 ,3 (2 0 0 1)  ,",",15793.0,2004.0,1983,35/542,     East,  ,1,4,2011,4/25/2011, 93.06,191500,191500,186500,   97.39,40658,3,2,0,0,1,"(42.6320627031563, -95.24139788502)",42.6320627031563,-95.24139788502
50,3109 Leona Dr , 44015192  ,Storm Lake,4 ,3 (2 1 0 0)  ,",",16800.0,1676.0,1980,6-Jun,     East,  ,2,5,2011,5/24/2011, 141.41,239500,239500,237000,   98.96,40687,3,2,1,0,0,"(42.6307791226861, -95.2417123263079)",42.6307791226861,-95.2417123263079
53,218 Lake Ave , 44015261  ,Storm Lake,4 ,3 (2 0 1 0)  ,",",12800.0,2858.0,1941,27/27,     East,  ,3,6,2011,6/15/2011, 87.47,267000,267000,250000,   93.63,40709,3,2,0,1,0,"(42.6381658858219, -95.2010547604073)",42.6381658858219,-95.2010547604073
56,1512 W 5th St , 44014469  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",16442.0,1630.0,1959,809/809,     East,  ,5,1,2012,1/20/2012, 99.94,189900,162900,162900,  100.00,40928,2,2,0,0,0,"(42.6442574449639, -95.2233240000022)",42.6442574449639,-95.2233240000022
57,920 Angier Dr , 44015068  ,Storm Lake,3 ,3 (2 1 0 0)  ,",",12003.0,1887.0,1981,655/655,     East,  ,5,9,2012,9/14/2012, 92.74,250000,190000,175000,   92.11,41166,3,2,1,0,0,"(42.6481580416898, -95.2248344459938)",42.6481580416898,-95.2248344459938
59,1601 Shoreway Rd , 44015301  ,Storm Lake,3 ,3 (2 1 0 0)  ,",",16950.0,2144.0,1966,150/150,     East,  ,2,11,2011,11/22/2011, 76.96,186000,182000,165000,   90.66,40869,3,2,1,0,0,"(42.6433384108197, -95.2226687661459)",42.6433384108197,-95.2226687661459
60,1101 Lincoln Rd , 44015338  ,Storm Lake,3 ,3 (2 0 1 0)  ,",",13260.0,1563.0,1970,142/142,     East,  ,2,11,2011,11/29/2011, 99.81,162500,159900,156000,   97.56,40876,3,2,0,1,0,"(42.651199, -95.193361)",42.651199,-95.193361
61,321 Ontario St , 44015408  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",8400.0,1826.0,1994,22/22,     East,  ,2,11,2011,11/1/2011, 98.71,180250,180250,180250,  100.00,40848,3,3,0,0,0,"(42.6397804384589, -95.2047370676259)",42.6397804384589,-95.2047370676259
63,712 Emerald Dr , 44015429  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",18360.0,2260.0,1977,195/195,     East,  ,5,5,2012,5/4/2012, 81.86,207500,189900,185000,   97.42,41033,3,3,0,0,0,"(42.6321936761313, -95.2383234320043)",42.6321936761313,-95.2383234320043
64,1000 Kelvin Rd , 44015456  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",10400.0,2038.0,1954,111/111,     East,  ,3,2,2012,2/15/2012, 90.78,189900,189900,185000,   97.42,40954,2,2,0,0,0,"(42.6306973387274, -95.2390763476442)",42.6306973387274,-95.2390763476442
65,808 Meadow Ln , 44015482  ,Storm Lake,3 ,4 (3 1 0 0)  ,",",28000.0,2944.0,1980,21/21,     East,  ,3,12,2011,12/28/2011, 90.01,269000,269000,265000,   98.51,40905,4,3,1,0,0,"(42.6321462564707, -95.2428938309472)",42.6321462564707,-95.2428938309472
66,515 Gran Dr , 44015492  ,Storm Lake,4 ,2 (1 1 0 0)  ,",",11655.0,1774.0,1967,148/148,     East,  ,3,5,2012,5/16/2012, 96.96,176500,176500,172000,   97.45,41045,2,1,1,0,0,"(42.64328914573, -95.2193011050928)",42.64328914573,-95.2193011050928
67,1115 W 6th St , 44015775  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",10825.0,1250.0,2012,71/71,     East,  ,4,6,2012,6/14/2012, 138.80,172500,172500,173500,  100.58,41074,3,3,0,0,0,"(42.6455377993984, -95.2152054833335)",42.6455377993984,-95.2152054833335
68,709 Emerald Dr , 44015822  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",11700.0,1520.0,1964,97/97,     East,  ,1,8,2012,8/6/2012, 103.95,168000,168000,158000,   94.05,41127,3,3,0,0,0,"(42.6333137851066, -95.2381377658073)",42.6333137851066,-95.2381377658073
69,916 Angier Dr , 44015832  ,Storm Lake,2 ,2 (1 0 1 0)  ,",",12489.0,1576.0,1974,58/58,     East,  ,1,7,2012,7/9/2012, 95.18,159900,159900,150000,   93.81,41099,2,1,0,1,0,"(42.6481014799227, -95.224834790183)",42.6481014799227,-95.224834790183
70,203 Geneseo St , 44015874  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",11200.0,2079.0,1907,74/74,     East,  ,4,7,2012,7/26/2012, 98.61,239000,219500,205000,   93.39,41116,2,2,0,0,0,"(42.6379726938776, -95.2033236734694)",42.6379726938776,-95.2033236734694
71,509 Lincoln Rd , 44015955  ,Storm Lake,3 ,2 (2 0 0 0)  ,",",9740.0,1400.0,1990,49/49,     East,  ,5,9,2012,9/14/2012, 115.00,162500,162500,161000,   99.08,41166,2,2,0,0,0,"(42.6534822, -95.1924039)",42.6534822,-95.1924039
72,607-609 Larchwood Dr , 44016042  ,Storm Lake,6 ,4 (4 0 0 0)  ,",",9442.0,2832.0,1972,32/32,     East,  ,1,9,2012,9/24/2012, 58.26,169500,169500,165000,   97.35,41176,4,4,0,0,0,"(42.6445366675939, -95.2171620877388)",42.6445366675939,-95.2171620877388
73,604 E Lakeshore Dr , 44015383  ,Storm Lake,3 ,3 (2 0 1 0)  ,",",8780.0,1337.0,1996,413/413,     East,  ,5,10,2012,10/26/2012, 141.36,214500,199500,189000,   94.74,41208,3,2,0,1,0,"(42.6361077059731, -95.1928966753965)",42.6361077059731,-95.1928966753965
76,704 Clover Ln , 44015901  ,Storm Lake,3 ,3 (3 0 0 0)  ,",",14000.0,1327.0,1980,170/170,     East,  ,5,12,2012,12/7/2012, 131.88,188500,179000,175000,   97.77,41250,3,3,0,0,0,"(42.6308725101919, -95.24158071581)",42.6308725101919,-95.24158071581
77,1817 W 6th St , 44015975  ,Storm Lake,4 ,3 (3 0 0 0)  ,",",9600.0,1582.0,2006,144/144,     East,  ,4,12,2012,12/13/2012, 140.33,239000,229000,222000,   96.94,41256,3,3,0,0,0,"(42.6454682014864, -95.2276195103136)",42.6454682014864,-95.2276195103136
78,513 Swallum Dr , 44016070  ,Storm Lake,3 ,2 (1 1 0 0)  ,",",10067.0,1521.0,1964,296/296,     East,  ,3,7,2013,7/17/2013, 101.25,169900,154900,154000,   99.42,41472,2,1,1,0,0,"(42.6430020396463, -95.2182331688906)",42.6430020396463,-95.2182331688906
