,Address,City,Bed,LotSz,SqFt,Year,DOM_CDOM,DayofWkListed,MonthListed,YearListed,Date,OrigPrice,ListPrice,SellingPrice,total_baths,full_baths,three_q_baths,half_baths,q_baths,lat,lon
43,806 Lakeshore Dr ,Storm Lake,3,8898,1176,1920,302/302,5,11,2010,11/5/2010,259000,244000,225000,1,1,0,0,0,42.6357767278391,-95.1900579389305
44,1000 Pierce Dr ,Storm Lake,3,11790,1528,1962,371/371,4,5,2011,5/5/2011,164900,155000,151500,3,2,0,0,1,42.630814,-95.238812
46,106 College Ave ,Storm Lake,4,21248,2880,1960,1-Jan,5,4,2011,4/22/2011,285000,285000,260000,3,2,0,0,1,42.6378288981315,-95.2078644656754
49,801 Clover Ln ,Storm Lake,4,15793,2004,1983,35/542,1,4,2011,4/25/2011,191500,191500,186500,3,2,0,0,1,42.6320627031563,-95.24139788502
50,3109 Leona Dr ,Storm Lake,4,16800,1676,1980,6-Jun,2,5,2011,5/24/2011,239500,239500,237000,3,2,1,0,0,42.6307791226861,-95.2417123263079
53,218 Lake Ave ,Storm Lake,4,12800,2858,1941,27/27,3,6,2011,6/15/2011,267000,267000,250000,3,2,0,1,0,42.6381658858219,-95.2010547604073
56,1512 W 5th St ,Storm Lake,3,16442,1630,1959,809/809,5,1,2012,1/20/2012,189900,162900,162900,2,2,0,0,0,42.6442574449639,-95.2233240000022
57,920 Angier Dr ,Storm Lake,3,12003,1887,1981,655/655,5,9,2012,9/14/2012,250000,190000,175000,3,2,1,0,0,42.6481580416898,-95.2248344459938
59,1601 Shoreway Rd ,Storm Lake,3,16950,2144,1966,150/150,2,11,2011,11/22/2011,186000,182000,165000,3,2,1,0,0,42.6433384108197,-95.2226687661459
60,1101 Lincoln Rd ,Storm Lake,3,13260,1563,1970,142/142,2,11,2011,11/29/2011,162500,159900,156000,3,2,0,1,0,42.651199,-95.193361
61,321 Ontario St ,Storm Lake,3,8400,1826,1994,22/22,2,11,2011,11/1/2011,180250,180250,180250,3,3,0,0,0,42.6397804384589,-95.2047370676259
63,712 Emerald Dr ,Storm Lake,4,18360,2260,1977,195/195,5,5,2012,5/4/2012,207500,189900,185000,3,3,0,0,0,42.6321936761313,-95.2383234320043
